"Aura Revenue SaaS Forecasting Spreadsheet Template"
"Educational use only","Not financial, tax, accounting, legal, or investment advice"

"Input","Value"
"Starting MRR",10000
"Monthly new MRR growth rate",0.08
"Monthly expansion MRR rate",0.025
"Monthly contraction MRR rate",0.01
"Monthly churn MRR rate",0.02

"Month","Starting MRR","New MRR","Expansion MRR","Contraction MRR","Churned MRR","Net New MRR","Ending MRR","ARR Run Rate","Cumulative Forecast Revenue"
1,10000,800,250,100,200,750,10750,129000,10750
2,10750,860,269,108,215,806,11556,138672,22306
3,11556,924,289,116,231,866,12422,149064,34728
4,12422,994,311,124,248,933,13355,160260,48083
5,13355,1068,334,134,267,1001,14356,172272,62439
6,14356,1148,359,144,287,1076,15432,185184,77871
7,15432,1235,386,154,309,1158,16590,199080,94461
8,16590,1327,415,166,332,1244,17834,214008,112295
9,17834,1427,446,178,357,1338,19172,230064,131467
10,19172,1534,479,192,383,1438,20610,247320,152077
11,20610,1649,515,206,412,1546,22156,265872,174233
12,22156,1772,554,222,443,1661,23817,285804,198050
